"SKU";"stock"
"810052460475";"12"
"810052460482";"20"
"810052460499";"0"
"810052460505";"0"
"810052460512";"0"
"810052460529";"7"
"810052460536";"14"
"810052460659";"0"
"810052460673";"20"
"810052460680";"0"
"810052460697";"6"
"810052460710";"0"
"810052460734";"20"
"810052460741";"0"
"810052460758";"20"
"810052460772";"20"
"810052460789";"20"
"810052460796";"20"
"810052460802";"20"
"810052460819";"20"
"810052460826";"20"
"810052460833";"20"
"810052460840";"20"
"810052460857";"17"
"810052460864";"20"
"810052460871";"5"
"810052460888";"20"
"810052460895";"20"
"810052460901";"20"
"810052460918";"20"
"810052460925";"20"
"810052460932";"20"
"810052460949";"20"
"810052460956";"13"
"810052461007";"0"
"810052461014";"20"
"810052461038";"20"
"810052461076";"20"
"810052461083";"20"
"810052461106";"18"
"810052461113";"20"
"810052461144";"0"
"810052461151";"0"
"810052461168";"14"
"810052461175";"20"
"810052461182";"20"
"810052461199";"20"
"810052461205";"10"
"810052461212";"20"
"810052461229";"20"
"810052461243";"20"
"810052461250";"20"
"810052461267";"5"
"810052461281";"20"
"810052461298";"20"
"810052461304";"20"
"810052461311";"0"
"810052461328";"6"
"810052461380";"20"
"810052461397";"20"
"810052461403";"0"
"810052461427";"20"
"810052461434";"17"
"810052461458";"20"
"810052461465";"20"
"810052461472";"20"
"810052461489";"20"
"810052461496";"15"
"810052461502";"12"
"810052461519";"20"
"810052461526";"20"
"810052461564";"0"
"810052461571";"20"
"810052461588";"20"
"810052461656";"2"
"810052461724";"0"
"810052461854";"20"
"810052461861";"18"
"810052461878";"12"
"810052461885";"14"
"810052461953";"0"
"810052461960";"0"
"810052461991";"20"
"810052462011";"20"
"810052462028";"20"
"810052462035";"20"
"810052462042";"20"
"810052462059";"20"
"810052462066";"20"
"810052462134";"20"
"810052462141";"20"
"810052462158";"0"
"810052462165";"0"
"810052462189";"20"
"810052462219";"20"
"810052462233";"20"
"810052462356";"20"
"810052462370";"20"
"810052464008";"0"
"810052464169";"20"
"810052464176";"20"
"810052464244";"20"
"810052464251";"0"
"810052464275";"0"
"810052464282";"0"
"810052464299";"20"
"810052464305";"0"
"810052464312";"20"
"810052464329";"0"
"810052464336";"0"
"810052464343";"20"
"810052464350";"11"
"810052464367";"20"
"810052464374";"20"
"810052464381";"18"
"810052464398";"20"
"810052464411";"6"
"810052464428";"20"
"810052464435";"6"
"810052464442";"0"
"810052464459";"0"
"810052464473";"0"
"810052464480";"20"
"810052464497";"13"
"810052464510";"0"
"810052464527";"0"
"810052464534";"20"
"810052464541";"20"
"810052464558";"20"
"810052464565";"20"
"810052464572";"20"
"810052464596";"20"
"810052464619";"20"
"810052464626";"20"
"810052464633";"20"
"810052464640";"20"
"810052464657";"20"
"810052464688";"0"
"810052465081";"12"
"810052465098";"1"
"810052465265";"20"
"810052465272";"20"
"810052465319";"20"
"810052465326";"0"
"810052465333";"20"
"810052465357";"20"
"810052465364";"11"
"810052465470";"0"
"810052465555";"20"
"810052465562";"20"
"810052465579";"20"
"810052465586";"20"
"810052465593";"20"
"810052465708";"20"
"810052465715";"20"
"810052465722";"20"
"810052465739";"16"
"810052465746";"20"
"810052465753";"20"
"810052465760";"0"
"810052465777";"5"
"810052465791";"20"
"810052465807";"20"
"810052465814";"20"
"810052465821";"20"
"810052465838";"20"
"810052465845";"20"
"810052465852";"20"
"810052465869";"20"
"810052466088";"20"
"810052466132";"20"
"810052466149";"6"
"810052466156";"20"
"810052466163";"15"
"810052466576";"20"
"810052467030";"4"
"810052467054";"20"
"810052467146";"0"
"810052467153";"20"
"810052467160";"13"
"810052467177";"20"
"810052467184";"20"
"810052467191";"20"
"810052467207";"12"
"810052467368";"20"
"810052467375";"20"
"810052467382";"20"
"810052467399";"20"
"810052467412";"20"
"810052467436";"8"
"810052467443";"0"
"810052467474";"0"
"810052467504";"1"
"810052467702";"3"
"810052467818";"0"
"810052468099";"0"
"810052468105";"0"
"810052468112";"0"
"810052468136";"0"
"810052468150";"0"
"810052468167";"20"
"810052468174";"0"
"810052468181";"20"
"810052468228";"20"
"810052468235";"0"
"810052468266";"20"
"810052468273";"0"
"810052468297";"4"
"810052468433";"20"
"810052468891";"20"
"810052469409";"0"
"810052469485";"11"
"810052469652";"8"
"810052469669";"20"
"810052469683";"0"
"810052469959";"20"
"810052469966";"20"
"810052469973";"7"
"810052469980";"20"
"810052469997";"20"
"810123508822";"20"
"810123508839";"0"
"810123508853";"0"
"810123508860";"0"
"810123508877";"0"
"810123508884";"13"
"810123508891";"20"
"810123508921";"0"
"810123508945";"0"
"810123508952";"0"
"810123508969";"0"
"810123509096";"0"
"810123509126";"0"
"810123509140";"0"
"810123509171";"0"
"810184051732";"0"
"810184055785";"0"
"810184055792";"0"
"810184056492";"0"
"810184056720";"0"
"810184058199";"0"
"840355800050";"0"
"840355800067";"20"
"840355800074";"0"
"840355800081";"0"
"840355800098";"0"
"840355800142";"20"
"840355800159";"7"
"840355800166";"20"
"840355800188";"20"
"840355800210";"16"
"840355800227";"0"
"840355800234";"0"
"840355800241";"20"
"840355800289";"1"
"840355800296";"11"
"840355800302";"0"
"840355800333";"18"
"840355800340";"9"
"840355800357";"20"
"840355800432";"20"
"840355800449";"20"
"840355800456";"20"
"840355800463";"20"
"840355800470";"20"
"840355800487";"0"
"840355800494";"20"
"840355800562";"20"
"840355800579";"20"
"840355800586";"20"
"840355800593";"20"
"840355800609";"20"
"840355800647";"20"
"840355800654";"0"
"840355800692";"20"
"840355800746";"1"
"840355800777";"4"
"840355800784";"20"
"840355800791";"9"
"840355800814";"0"
"840355800821";"0"
"840355800838";"20"
"840355800845";"20"
"840355800852";"20"
"840355800869";"20"
"840355800876";"0"
"840355800883";"16"
"840355800944";"20"
"840355800951";"20"
"840355800982";"0"
"840355801033";"0"
"840355801040";"11"
"840355801057";"9"
"840355801064";"0"
"840355801088";"9"
"840355801095";"0"
"840355801118";"20"
"840355801125";"20"
"840355801132";"0"
"840355801149";"0"
"840355801187";"0"
"840355801217";"20"
"840355801224";"20"
"840355801231";"20"
"840355801248";"20"
"840355801255";"20"
"840355801262";"20"
"840355801293";"0"
"840355801354";"0"
"840355801422";"0"
"840355801446";"20"
"840355801453";"17"
"840355801484";"20"
"840355801491";"7"
"840355801507";"3"
"840355801514";"11"
"840355801521";"20"
"840355801538";"0"
"840355801712";"18"
"840355801835";"0"
"840355801859";"0"
"840355801873";"1"
"840355801897";"0"
"840355801903";"0"
"840355801927";"20"
"840355801934";"15"
"840355801941";"0"
"840355801958";"0"
"840355801965";"0"
"840355802030";"20"
"840355802054";"20"
"840355802061";"20"
"840355802191";"0"
"840355802207";"20"
"840355802214";"20"
"840355802252";"20"
"840355802269";"19"
"840355802276";"20"
"840355802504";"4"
"840355802573";"0"
"840355802580";"0"
"840355802689";"20"
"840355802719";"0"
"840355802726";"20"
"840355802771";"20"
"840355802863";"1"
"840355803006";"0"
"840506400047";"0"
"840506400061";"0"
"840506401334";"0"
"840506402072";"0"
"840506402553";"0"
"840506404021";"0"
"840506404083";"0"
"840506404106";"0"
"840506404113";"4"
"840506405813";"0"
"840506406032";"20"
"840506409743";"0"
"840506409750";"0"
"840506409767";"0"
"840506409774";"0"
"840506412187";"0"
"840506414310";"0"
"840506414327";"0"
"840506414334";"0"
"8432377017282";"20"
"8432377017305";"10"
"8432377017329";"20"
"8432377017343";"5"
"8432377017350";"0"
"8432377017374";"20"
"8432377017626";"20"
"8432377017633";"0"
"8432377017640";"20"
"8432377017657";"0"
"8432377017664";"0"
"8432377017671";"6"
"8432377017688";"20"
"8432377017695";"20"
"8432377017701";"7"
"8432377017718";"8"
"8432377017725";"0"
"8432377017732";"13"
"8432377017794";"0"
"8432377017800";"11"
"8432377017817";"12"
"8432377017824";"0"
"8432377017831";"0"
"8432377017930";"3"
"8432377022668";"20"
"8432377022675";"1"
"8432377022682";"7"
"8432377022712";"0"
"8432377022729";"0"
"8432377022736";"16"
"8432377022743";"0"
"8432377022750";"20"
"8432377022774";"4"
"8432377022781";"11"
"8432377022798";"20"
"8432377022804";"0"
"8432377022811";"5"
"8432377022828";"0"
"8432377022989";"0"
"8432377023597";"0"
"8432377023641";"18"
"8432377023658";"20"
"8432377030281";"20"
"8432377030304";"20"
"8432377030311";"20"
"8432377030335";"20"
"8432377030359";"20"
"8432377041294";"0"
"8432377041317";"20"
"8432377041324";"19"
"8432377044677";"20"
"8432377047999";"3"
"8432377049016";"20"
"8432377049023";"1"
"8432377049030";"20"
"8432377049290";"20"
"8432377049306";"20"
"8432377049313";"20"
"8432377058841";"0"
"8432377058858";"2"
"8432377061148";"20"
"8432377061155";"20"
